Layer Name,FLOPS,InputA,InputB,Output,OP/B,Execution_time,Execution_time(%)
pre_attn_norm,3670016,1835008,,1835008,1.0,1.094873508353222,0.52
query_down,2818572288,1835008,22020096,393216,116.23783783783784,7.233985680190931,3.42
attn_norm_1,786432,393216,,393216,1.0,0.23461575178997615,0.11
query_up,3221225472,393216,25165824,2097152,116.4739336492891,8.250653937947494,3.9
kv_down,939524096,1835008,7340032,131072,100.95774647887323,2.776286396181384,1.31
attn_norm_2,262144,131072,,131072,1.0,0.07820525059665871,0.04
k_up,1073741824,131072,8388608,2097152,101.1358024691358,3.1673126491646775,1.5
v_up,1073741824,131072,8388608,2097152,101.1358024691358,3.1673126491646775,1.5
k_rope_w,117440512,1835008,917504,16384,42.414201183431956,0.8260429594272076,0.39
q_rope_w,1610612736,393216,12582912,1048576,114.8411214953271,4.18398090692124,1.98
k_rope,49152,16384,,16384,1.5,0.009775656324582339,0.0
q_rope,3145728,1048576,,1048576,1.5,0.6256420047732697,0.3
flash_attention,6422672,3145728,50380800,3145728,0.0004977339359294412,16.906997613365153,7.98
out_proj,22548585472,3145728,117440512,1835008,184.1884953827623,36.521852028639614,17.25
residual_addition,917504,1835008,,1835008,0.25,1.094873508353222,0.52
post_attn_norm,3670016,1835008,,1835008,1.0,1.094873508353222,0.52
gate_proj,16911433728,1835008,132120576,2359296,124.06153846153846,40.66673031026253,19.2
up_proj,16911433728,1835008,132120576,2359296,124.06153846153846,40.66673031026253,19.2
silu,8257536,2359296,,2359296,1.75,1.4076945107398566,0.66
down_proj,16911433728,2359296,132120576,1835008,124.06153846153846,40.66673031026253,19.2
residual_addition2,917504,1835008,,1835008,0.25,1.094873508353222,0.52
Total FLOPS,84165844112,,,,,,
