Layer Name,FLOPS,InputA,InputB,Output,OP/B,Execution_time,Execution_time(%)
pre_attn_norm,3758096384,1879048192,,1879048192,1.0,1121.1504725536993,1.16
query_down,2886218022912,1879048192,22020096,402653184,1252.8502503413747,2917.139703771983,3.03
attn_norm_1,805306368,402653184,,402653184,1.0,240.24652983293558,0.25
query_up,3298534883328,402653184,25165824,2147483648,1280.8338762214983,3333.8739471679805,3.46
kv_down,962072674304,1879048192,7340032,134217728,476.13077322262586,972.3799012573277,1.01
attn_norm_2,268435456,134217728,,134217728,1.0,80.08217661097852,0.08
k_up,1099511627776,134217728,8388608,2147483648,480.1172161172161,1111.2913157226603,1.15
v_up,1099511627776,134217728,8388608,2147483648,480.1172161172161,1111.2913157226603,1.15
k_rope_w,120259084288,1879048192,917504,16777216,63.40294381867183,565.8540906921241,0.59
q_rope_w,1649267441664,402653184,12582912,1073741824,1107.650704225352,1666.9369735839903,1.73
k_rope,50331648,16777216,,16777216,1.5,10.010272076372315,0.01
q_rope,3221225472,1073741824,,1073741824,1.5,640.6574128878282,0.66
flash_attention,6734659715072,3221225472,50331648,3221225472,94.49552730696799,1936.987646778043,2.01
out_proj,23089751523328,3221225472,117440512,1879048192,4425.261856913184,23337.125048845763,24.22
residual_addition,939524096,1879048192,,1879048192,0.25,1121.1504725536993,1.16
post_attn_norm,3758096384,1879048192,,1879048192,1.0,1121.1504725536993,1.16
gate_proj,17317308137472,1879048192,132120576,2415919104,3911.67029843676,17502.838222631897,18.16
up_proj,17317308137472,1879048192,132120576,2415919104,3911.67029843676,17502.838222631897,18.16
silu,8455716864,2415919104,,2415919104,1.75,1441.4791789976132,1.5
down_proj,17317308137472,2415919104,132120576,1879048192,3911.67029843676,17502.838222631897,18.16
residual_addition2,939524096,1879048192,,1879048192,0.25,1121.1504725536993,1.16
Total FLOPS,92913907269632,,,,,,
