Layer Name,FLOPS,InputA,InputB,Output,FLOPS,OP/B,Execution_time
pre_attn_norm,7340032,3670016,,3670016,7340032,1.0,2.189747016706444
query_down,5637144576,3670016,22020096,786432,5637144576,212.9108910891089,7.89873031026253
attn_norm_1,1572864,786432,,786432,1572864,1.0,0.4692315035799523
query_up,12884901888,786432,50331648,8388608,12884901888,216.5286343612335,17.75259188544153
kv_down,1879048192,3670016,7340032,262144,1879048192,166.69767441860466,3.3628257756563245
attn_norm_2,524288,262144,,262144,524288,1.0,0.15641050119331742
k_up,4294967296,262144,16777216,8388608,4294967296,168.90721649484536,7.5859093078758955
v_up,4294967296,262144,16777216,8388608,4294967296,168.90721649484536,7.5859093078758955
k_rope_w,234881024,3670016,917504,32768,234881024,50.836879432624116,1.3783675417661096
q_rope_w,6442450944,786432,25165824,4194304,6442450944,213.70434782608694,8.993603818615751
k_rope,98304,32768,,32768,98304,1.5,0.019551312649164678
q_rope,12582912,4194304,,4194304,12582912,1.5,2.502568019093079
score,12897484800,12582912,12897484800,67174400,12897484800,0.9938540630349919,3871.4922768496417
mask_scale_softmax,235110400,67174400,,67174400,235110400,1.75,40.08019093078759
context_head,8598323200,67174400,8388608,8388608,8598323200,102.4199843871975,25.045231503579952
out_proj,60129542144,8388608,234881024,3670016,60129542144,243.49893842887474,73.6693460620525
residual_addition,1835008,3670016,,3670016,1835008,0.25,2.189747016706444
post_attn_norm,7340032,3670016,,3670016,7340032,1.0,2.189747016706444
gate_proj,67645734912,3670016,264241152,9437184,67645734912,243.90170132325142,82.7411551312649
up_proj,67645734912,3670016,264241152,9437184,67645734912,243.90170132325142,82.7411551312649
silu,33030144,9437184,,9437184,33030144,1.75,5.6307780429594265
down_proj,67645734912,9437184,264241152,3670016,67645734912,243.90170132325142,82.7411551312649
residual_addition2,1835008,3670016,,3670016,1835008,0.25,2.189747016706444
Total FLOPS,"FLOPS    320532185088
FLOPS    320532185088
dtype: int64",,,,,,
