Layer Name,FLOPS,InputA,InputB,Output,FLOPS,OP/B,Execution_time
pre_attn_norm,29360128,14680064,,14680064,29360128,1.0,8.758988066825776
query_down,22548578304,14680064,22020096,3145728,22548578304,565.8947368421053,22.790153935718617
attn_norm_1,6291456,3145728,,3145728,6291456,1.0,1.8769260143198092
query_up,51539607552,3145728,50331648,33554432,51539607552,592.1927710843373,52.091780424499696
kv_down,7516192768,14680064,7340032,1048576,7516192768,325.8181818181818,7.5967179785728725
attn_norm_2,2097152,1048576,,1048576,2097152,1.0,0.6256420047732697
k_up,17179869184,1048576,16777216,33554432,17179869184,334.3673469387755,17.363926808166568
v_up,17179869184,1048576,16777216,33554432,17179869184,334.3673469387755,17.363926808166568
k_rope_w,939524096,14680064,917504,131072,939524096,59.733333333333334,4.692315035799523
q_rope_w,25769803776,3145728,25165824,16777216,25769803776,571.5348837209302,26.045890212249848
k_rope,393216,131072,,131072,393216,1.5,0.07820525059665871
q_rope,50331648,16777216,,16777216,50331648,1.5,10.010272076372315
score,51539607552,50331648,50331648,268435456,51539607552,139.63636363636363,110.11299284009547
mask_scale_softmax,939524096,268435456,,268435456,939524096,1.75,160.16435322195704
context_head,34359738368,268435456,33554432,33554432,34359738368,102.4,100.10272076372314
out_proj,240518168576,33554432,234881024,14680064,240518168576,849.5407407407407,243.09497531433192
residual_addition,7340032,14680064,,14680064,7340032,0.25,8.758988066825776
post_attn_norm,29360128,14680064,,14680064,29360128,1.0,8.758988066825776
gate_proj,270582939648,14680064,264241152,37748736,270582939648,854.4635761589404,273.4818472286234
up_proj,270582939648,14680064,264241152,37748736,270582939648,854.4635761589404,273.4818472286234
silu,132120576,37748736,,37748736,132120576,1.75,22.523112171837706
down_proj,270582939648,37748736,264241152,14680064,270582939648,854.4635761589404,273.4818472286234
residual_addition2,7340032,14680064,,14680064,7340032,0.25,8.758988066825776
Total FLOPS,"FLOPS    1282043936768
FLOPS    1282043936768
dtype: int64",,,,,,
